"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Industrie du cuir et de la chaussure (NAF rév. 2, niveau division, poste 15)";"Codes"
"idBank";"010767732";""
"Dernière mise à jour";"05/03/2024 08:45";""
"Période";"";""
"2024-01";"124.34";"A"
"2023-12";"109.59";"A"
"2023-11";"138.38";"A"
"2023-10";"123.55";"A"
"2023-09";"110.74";"A"
"2023-08";"83.73";"A"
"2023-07";"114.19";"A"
"2023-06";"136.34";"A"
"2023-05";"105.18";"A"
"2023-04";"117.76";"A"
"2023-03";"130.81";"A"
"2023-02";"112.17";"A"
"2023-01";"113.8";"A"
"2022-12";"117.38";"A"
"2022-11";"127.82";"A"
"2022-10";"120.52";"A"
"2022-09";"114.67";"A"
"2022-08";"73.29";"A"
"2022-07";"112.86";"A"
"2022-06";"125.9";"A"
"2022-05";"105.5";"A"
"2022-04";"97.45";"A"
"2022-03";"124.27";"A"
"2022-02";"103.42";"A"
"2022-01";"98.97";"A"
"2021-12";"110.97";"A"
"2021-11";"105.8";"A"
"2021-10";"117.54";"A"
"2021-09";"103.42";"A"
"2021-08";"66.34";"A"
"2021-07";"112.9";"A"
"2021-06";"111.07";"A"
"2021-05";"86.99";"A"
"2021-04";"93.95";"A"
"2021-03";"112.61";"A"
"2021-02";"88.72";"A"
"2021-01";"89.69";"A"
"2020-12";"104.94";"A"
"2020-11";"102.98";"A"
"2020-10";"115.0";"A"
"2020-09";"89.59";"A"
"2020-08";"56.52";"A"
"2020-07";"95.92";"A"
"2020-06";"84.63";"A"
"2020-05";"62.33";"A"
"2020-04";"34.99";"A"
"2020-03";"58.42";"A"
"2020-02";"95.82";"A"
"2020-01";"109.48";"A"
"2019-12";"101.79";"A"
"2019-11";"102.17";"A"
"2019-10";"111.04";"A"
"2019-09";"92.49";"A"
"2019-08";"65.82";"A"
"2019-07";"115.32";"A"
"2019-06";"103.18";"A"
"2019-05";"88.42";"A"
"2019-04";"100.98";"A"
"2019-03";"109.27";"A"
"2019-02";"92.73";"A"
"2019-01";"96.76";"A"
"2018-12";"88.8";"A"
"2018-11";"101.24";"A"
"2018-10";"102.37";"A"
"2018-09";"80.39";"A"
"2018-08";"60.25";"A"
"2018-07";"102.42";"A"
"2018-06";"102.0";"A"
"2018-05";"80.91";"A"
"2018-04";"87.61";"A"
"2018-03";"104.34";"A"
"2018-02";"90.84";"A"
"2018-01";"90.05";"A"
